//Año;Mes;Inversion en infraestructura;Inversion tecnologica;Inversion en equipo medico
2016;Mayo;$200.000;$210.000;$220.000
2016;Junio;$210.000;$220.000;$230.000
2016;Julio;$220.000;$230.000;$240.000
2016;Agosto;$230.000;$240.000;$250.000
2016;Septiembre;$240.000;$250.000;$260.000
2016;Octubre;$250.000;$260.000;$270.000
2016;Noviembre;$260.000;$270.000;$280.000
2016;Diciembre;$270.000;$280.000;$290.000
2017;Enero;$280.000;$290.000;$300.000
2017;Febrero;$290.000;$300.000;$310.000
2017;Marzo;$310.000;$310.000;$320.000
2017;Abril;$320.000;$320.000;$330.000
2017;Mayo;$330.000;$330.000;$340.000
2017;Junio;$340.000;$340.000;$350.000
2017;Julio;$350.000;$350.000;$360.000
