//Año;Mes;Gastos por recurso humano;Gastos generales;Gastos Inventario;Gastos excepcionales
2016;Mayo;$12.000.000;$210.000;$500.000;$150.000
2016;Junio;$12.500.000;$220.000;$510.000;$160.000
2016;Julio;$13.000.000;$230.000;$520.000;$170.000
2016;Agosto;$13.500.000;$240.000;$530.000;$180.000
2016;Septiembre;$14.000.000;$250.000;$540.000;$190.000
2016;Octubre;$14.500.000;$260.000;$550.000;$200.000
2016;Noviembre;$15.000.000;$270.000;$560.000;$210.000
2016;Diciembre;$15.500.000;$280.000;$570.000;$220.000
2017;Enero;$16.000.000;$290.000;$580.000;$230.000
2017;Febrero;$16.500.000;$300.000;$590.000;$240.000
2017;Marzo;$17.000;$310.000;$600.000;$250.000
2017;Abril;$17.500.000;$320.000;$610.000;$260.000
2017;Mayo;$18.000.000;$330.000;$620.000;$270.000
2017;Junio;$18.500.000;$340.000;$630.000;$280.000
2017;Julio;$19.000.000;$350.000;$640.000;$290.000
